,handle,created_at,tweet_text,key_word_list
2320,boblatta,2022-12-06T21:56:22.000Z,"Are you visiting D.C. over the holidays? If so, be sure to check out the @USBotanicGarden’s special holiday-themed exhibition of uniquely curated replicas of D.C. monuments fashioned from dried plant materials! https://t.co/KCbX6Q62M2","['visit', 'holiday', 'so', 'sure', 'check', 'special', 'holiday', 'theme', 'exhibition', 'uniquely', 'curate', 'replica', 'monument', 'fashion', 'dry', 'plant', 'material']"
2321,boblatta,2022-12-06T15:00:02.000Z,"🚨Broadband Internet Update🚨
#OH5, if you lack adequate internet service, watch the video ⬇️ to learn how to check your coverage and challenge new @FCC broadband maps if you find inaccurate information.
https://t.co/viyuT0b4Uy","['broadband', 'internet', 'update', 'lack', 'adequate', 'internet', 'service', 'watch', 'video', 'learn', 'check', 'coverage', 'challenge', 'new', 'broadband', 'map', 'find', 'inaccurate', 'information']"
2322,boblatta,2022-12-05T20:00:02.000Z,"Bah Humbug! Rampant inflation is even affecting holiday cheer this year.
🎄's are more expensive, up 5-15% from last year, and more than 1/3 of🎄growers said their costs have grown by 16%. 

Yet another example of why Congress must rein in reckless govt spending. https://t.co/1qZ8pTsplr","['bah', 'humbug', 'rampant', 'inflation', 'even', 'affect', 'holiday', 'cheer', 'year', 'more', 'expensive', 'up', 'last', 'year', 'more', 'grower', 'say', 'cost', 'grow', 'yet', 'example', 'congress', 'rein', 'reckless', 'govt', 'spending']"
2323,boblatta,2022-12-05T17:37:19.000Z,"It’s my great honor to announce this year’s U.S. Service Academy nominees from #OH5. This outstanding group of nominees are some of the most well-rounded students, and I wish them the best of luck through the admittance process. I can’t wait to see what their futures hold!🇺🇸 https://t.co/MAwv8IwynB","['great', 'honor', 'announce', 'year', 'service', 'academy', 'nominee', 'outstanding', 'group', 'nominee', 'most', 'well', 'round', 'student', 'wish', 'good', 'luck', 'admittance', 'process', 'wait', 'see', 'future', 'hold']"
2324,boblatta,2022-12-02T19:28:47.000Z,"Congress must immediately address inflation by cutting government spending, work to lower taxes, and shore up our broken supply chains. Hardworking Ohio families deserve nothing less.","['congress', 'immediately', 'address', 'inflation', 'cut', 'government', 'spending', 'work', 'lower', 'taxis', 'shore', 'break', 'supply', 'chain', 'hardworking', 'ohio', 'family', 'deserve', 'less']"
2325,boblatta,2022-12-02T19:28:46.000Z,"Rampant inflation &amp; tax hikes by the Biden Admin. are hurting our nation’s small businesses. According to the @BLS_gov, hiring has declined 7 out of the last 8 months. Over 40% of small business owners report not being able to afford rent for the month of November.","['rampant', 'inflation', 'amp', 'tax', 'hike', 'biden', 'admin', 'hurt', 'nation', 'small', 'business', 'accord', 'hiring', 'decline', 'last', 'month', 'small', 'business', 'owner', 'report', 'able', 'afford', 'rent', 'month', 'november']"
2326,boblatta,2022-12-02T13:58:19.000Z,The beautiful 2022 Gingerbread Capitol replica is helping raise the holiday spirits in the United States Capitol!🎄 https://t.co/2sqyMg8FOg,"['beautiful', 'gingerbread', 'capitol', 'replica', 'help', 'raise', 'holiday', 'spirit', 'united', 'states', 'capitol']"
2327,boblatta,2022-12-01T21:15:15.000Z,"RT @HouseCommerce: ""Instead of turning to authoritarian nations to supply our oil and gas, we should be investing in efforts to boost energ…","['rt', 'instead', 'turn', 'authoritarian', 'nation', 'supply', 'oil', 'gas', 'invest', 'effort', 'boost', 'energ']"
2328,boblatta,2022-12-01T19:10:28.000Z,"Another example of how @POTUS continues to actively decrease domestic energy production. Cratering North American energy production in favor of importing oil from an authoritarian nation is wrong. We must #fliptheswitch on American energy production now. 
https://t.co/r24De7G3F1","['example', 'continue', 'actively', 'decrease', 'domestic', 'energy', 'production', 'cratere', 'north', 'american', 'energy', 'production', 'favor', 'import', 'oil', 'authoritarian', 'nation', 'wrong', 'fliptheswitch', 'american', 'energy', 'production', 'now']"
2329,boblatta,2022-11-29T13:56:06.000Z,"Marcia and I are saddened to learn of the passing of my colleague, @RepMcEachin. Sending our deepest condolences to his staff, friends, and family during this difficult time.","['marcia', 'sadden', 'learn', 'passing', 'colleague', 'send', 'deep', 'condolence', 'staff', 'friend', 'family', 'difficult', 'time']"
2330,RepLaTurner,2022-12-06T17:26:31.000Z,"Over 73,000 illegal immigrants evaded law enforcement at the southern border and entered our country undetected last month—the highest number of gotaways ever recorded.

President Biden and Secretary Mayorkas have failed to secure the border.
https://t.co/17xbKTExxL","['illegal', 'immigrant', 'evade', 'law', 'enforcement', 'southern', 'border', 'enter', 'country', 'undetecte', 'last', 'month', 'high', 'number', 'gotaway', 'ever', 'record', 'president', 'biden', 'secretary', 'mayorkas', 'fail', 'secure', 'border']"
2331,RepLaTurner,2022-12-05T22:05:20.000Z,"Congratulations to Reps. Dan Hawkins and Chris Croft on being nominated to lead Republicans as Speaker and Majority Leader of the Kansas House.
 
I look forward to working together to help families and communities succeed across our state.
https://t.co/YuKKvRXhs0","['congratulation', 'reps', 'dan', 'hawkins', 'chris', 'croft', 'nominate', 'lead', 'republicans', 'speaker', 'majority', 'leader', 'kansas', 'house', 'look', 'forward', 'work', 'together', 'help', 'family', 'community', 'succeed', 'state']"
2332,RepLaTurner,2022-12-05T19:29:32.000Z,Join me in honoring the life of Senator Dole by participating in the @DoleFoundation's first-ever Bob Dole Day of Service: https://t.co/Q0Pfpeh8cN,"['join', 'honor', 'life', 'senator', 'dole', 'participate', 'first', 'ever', 'bob', 'dole', 'day', 'service']"
2333,RepLaTurner,2022-12-05T19:29:30.000Z,"Today marks one year since we lost one of our nation’s greatest public servants—Senator Bob Dole.

Senator Dole was a true American hero and will always be an inspiration to me as I continue to serve Kansans. https://t.co/W0J18IAzcH","['today', 'mark', 'year', 'lose', 'nation', 'great', 'public', 'servant', 'senator', 'bob', 'dole', 'senator', 'dole', 'true', 'american', 'hero', 'always', 'inspiration', 'continue', 'serve', 'kansans']"
2334,RepLaTurner,2022-12-05T15:30:01.000Z,"This is long overdue.

Thousands of our brave servicemen and women have been fired for refusing to get the COVID vaccine against their will.

It's time to end President Biden's military COVID vaccine mandate that's hurting our Armed Forces and making America less safe. https://t.co/EgIP0zFzfc","['long', 'overdue', 'thousand', 'brave', 'serviceman', 'woman', 'fire', 'refuse', 'get', 'covid', 'vaccine', 'will', 'time', 'end', 'president', 'biden', 'military', 'covid', 'vaccine', 'mandate', 'hurt', 'armed', 'forces', 'make', 'america', 'less', 'safe']"
2335,RepLaTurner,2022-12-02T17:21:40.000Z,"Great talking to Brent from KFEQ about the new Republican House majority and our plan to get America's economy back on track for Kansas families.

Read more ⤵️
https://t.co/6GVy8Da1FT","['great', 'talk', 'brent', 'kfeq', 'new', 'republican', 'house', 'majority', 'plan', 'get', 'america', 'economy', 'back', 'track', 'kansas', 'family', 'read', 'more']"
2336,RepLaTurner,2022-12-01T20:28:20.000Z,"Thousands of servicemembers, military retirees,
children, and other TRICARE beneficiaries have recently lost the ability to use their local pharmacy.
 
I urged the Department of Defense to ensure our heroes and their families have access to affordable, quality healthcare. https://t.co/jImIoUdjPg","['thousand', 'servicemember', 'military', 'retiree', 'child', 'other', 'tricare', 'beneficiary', 'recently', 'lose', 'ability', 'use', 'local', 'pharmacy', 'urge', 'department', 'defense', 'ensure', 'hero', 'family', 'have', 'access', 'affordable', 'quality', 'healthcare']"
2337,RepLaTurner,2022-12-01T17:57:48.000Z,"The new @HouseGOP majority will work to pass an agenda that helps Border Patrol agents regain operational control of our southern border:

✅ Ending catch-and-release
✅ Fully implementing Remain in Mexico
✅ Fully enforcing Title 42
✅ Resuming construction of the border wall https://t.co/rx6ET0YK47","['new', 'majority', 'work', 'pass', 'agenda', 'help', 'border', 'patrol', 'agent', 'regain', 'operational', 'control', 'southern', 'border', 'end', 'catch', 'release', 'fully', 'implement', 'remain', 'mexico', 'fully', 'enforce', 'title', 'resuming', 'construction', 'border', 'wall']"
2338,RepLaTurner,2022-11-30T21:18:33.000Z,"President Biden's 2022 #SpotifyWrapped is here!

Check it out ⤵️ https://t.co/vZsZvvKwoy","['president', 'biden', 'spotifywrapped', 'here', 'check']"
2339,RepLaTurner,2022-11-30T17:57:56.000Z,"Join me in congratulating Cheryl Ball on being honored with the DAISY Award for Extraordinary Nurses for going above and beyond to ensure Kansans get the care they deserve.

Thank you for your hard work and dedication to our community!
https://t.co/1qZ0hrmokD","['join', 'congratulate', 'cheryl', 'ball', 'honor', 'daisy', 'award', 'extraordinary', 'nurses', 'go', 'above', 'ensure', 'kansans', 'get', 'care', 'deserve', 'thank', 'hard', 'work', 'dedication', 'community']"
2390,RepDLesko,2022-12-06T23:00:00.000Z,"70% of Republican campaign emails went to spam on Gmail, compared to just 10% of Democrat campaign emails. That’s why I introduced the Political BIAS Emails Act to hold Big Tech companies accountable for using biased algorithms that censor Americans’ emails.","['republican', 'campaign', 'email', 'go', 'spam', 'gmail', 'compare', 'just', 'democrat', 'campaign', 'email', 'introduce', 'political', 'bias', 'emails', 'act', 'hold', 'big', 'tech', 'company', 'accountable', 'use', 'biased', 'algorithm', 'censor', 'americans', 'email']"
2391,RepDLesko,2022-12-06T21:30:00.000Z,"There is nothing more important than keeping Americans safe, and the border crisis is unquestionably a national security crisis. It is shameful that President Biden won’t visit the southern border. https://t.co/xi1VwlT1yD","['be', 'more', 'important', 'keep', 'americans', 'safe', 'border', 'crisis', 'unquestionably', 'national', 'security', 'crisis', 'shameful', 'president', 'biden', 'visit', 'southern', 'border']"
2392,RepDLesko,2022-12-06T20:33:24.000Z,"It was wonderful to join my Congressional colleagues to support the Iran Hostages Congressional Gold Medal Act, which honors the bravery of those who were held hostage in Iran, and to emphasize the need to recognize their heroism. https://t.co/rMCKAq4Jzr","['wonderful', 'join', 'congressional', 'colleague', 'support', 'iran', 'hostages', 'congressional', 'gold', 'medal', 'act', 'honor', 'bravery', 'hold', 'hostage', 'iran', 'emphasize', 'need', 'recognize', 'heroism']"
2393,RepDLesko,2022-12-06T18:45:00.000Z,"Under a House Republican majority, accountability is coming to Big Tech companies for interfering in our elections and attempting to silence the American people. The American people should be in charge, not Silicon Valley.","['house', 'republican', 'majority', 'accountability', 'come', 'big', 'tech', 'company', 'interfere', 'election', 'attempt', 'silence', 'american', 'people', 'american', 'people', 'charge', 'silicon', 'valley']"
2394,RepDLesko,2022-12-06T18:00:01.000Z,"I am excited by TSMC’s expansion and by TSMC’s announcement that it will produce even more chips at its first facility. This is great news for our domestic chip production, for the U.S.’s relationship with Taiwan, and for Arizona’s economy! 
https://t.co/IY2KNBdQJi","['excite', 'tsmc', 'expansion', 'tsmc', 'announcement', 'produce', 'even', 'more', 'chip', 'first', 'facility', 'great', 'news', 'domestic', 'chip', 'production', 'relationship', 'taiwan', 'arizona', 'economy']"
2395,RepDLesko,2022-12-06T17:05:28.000Z,Exciting news! I’m proud to share that TSMC has announced plans for its second facility and a $40 BILLION investment overall. Arizona is on track to becoming a hub of innovation and a leader in domestic semiconductor manufacturing. #TSMCArizona,"['exciting', 'news', 'proud', 'share', 'tsmc', 'announce', 'plan', 'second', 'facility', 'investment', 'overall', 'arizona', 'track', 'become', 'hub', 'innovation', 'leader', 'domestic', 'semiconductor', 'manufacturing', 'tsmcarizona']"
2396,RepDLesko,2022-12-06T15:41:20.000Z,"Yesterday, #SCOTUS heard 303 Creative v. Elenis. As the Supreme Court Justices consider this case, I hope that they unequivocally defend the Americans’ fundamental, Constitutional right to the freedom of speech and allow Lorie Smith to #CreateFreely.","['yesterday', 'scotus', 'hear', 'creative', 'elenis', 'supreme', 'court', 'justices', 'consider', 'case', 'hope', 'unequivocally', 'defend', 'americans', 'fundamental', 'constitutional', 'right', 'freedom', 'speech', 'allow', 'lorie', 'smith', 'createfreely']"
2397,RepDLesko,2022-12-06T15:09:01.000Z,"🚨An avalanche of illegal immigrants is preparing to enter our nation once Title 42 is lifted at the end of this month. Ending Title 42 is a big mistake on the part of the Biden Administration that will worsen the crisis at our southern border.
https://t.co/QwuScnb6b0","['avalanche', 'illegal', 'immigrant', 'prepare', 'enter', 'nation', 'title', 'lift', 'end', 'month', 'end', 'title', 'big', 'mistake', 'part', 'biden', 'administration', 'worsen', 'crisis', 'southern', 'border']"
2398,RepDLesko,2022-12-06T14:50:13.000Z,"(2/2) This bill honors the legacy of Carol Barr, who tragically passed away from sudden cardiac death brought on by mitral valve prolapse, and it is my hope that the President will quickly sign this bill into law.","['bill', 'honor', 'legacy', 'carol', 'barr', 'tragically', 'pass', 'away', 'sudden', 'cardiac', 'death', 'bring', 'mitral', 'valve', 'prolapse', 'hope', 'president', 'quickly', 'sign', 'bill', 'law']"
