,handle,created_at,tweet_text
0,RepAdams,2022-12-07T00:20:49.000Z,RT @CCLCharlotteNC: Thanks to @RepAdams staff Orlice Hodges and Avery Bonifati for meeting with @CCLCharlotteNC today to discuss #climateac…
1,RepAdams,2022-12-06T17:27:13.000Z,"RT @RepBonnie: SCOTUS will soon hear arguments in Moore v. Harper, a case that threatens the future of free and fair elections. Justice Tho…"
2,RepAdams,2022-12-06T15:53:19.000Z,RT @cspan: Congressional Gold Medal Ceremony for U.S. @CapitolPolice on January 6th – LIVE at 11am ET on C-SPAN https://t.co/DwIqWIGhUZ
3,RepAdams,2022-12-06T15:36:17.000Z,Congratulations @StephenCurry30! You’re always welcome back home. https://t.co/SzRRxFC7i2
4,RepAdams,2022-12-06T15:08:44.000Z,"RT @CRLONLINE: .@RepAdams Introduces Bill to Protect Essential Workers from Wage Garnishment

“Systematic racism continues to play a role i…"
5,RepAdams,2022-12-05T21:21:06.000Z,RT @NCLC4consumers: .@RepAdams has introduced the Protecting Wages Act to protect families and essential workers from predatory debt collec…
6,RepAdams,2022-12-05T20:50:44.000Z,"I'm proposing new legislation to protect families and essential workers from predatory debt collection practices.

Read more about the Protecting Wages Act here:

https://t.co/srBRa8bfee"
7,RepAdams,2022-12-05T18:40:36.000Z,"RT @DU_CCPD: @RepAdams is excited to announce two of her paid Spring 2023 Media Internship Programs!

One internship opportunity will be lo…"
8,RepAdams,2022-12-05T16:22:26.000Z,"@RepRichHudson Thank you for your continued attention to this issue, Rep. Hudson. I'm praying for Moore County."
9,RepAdams,2022-12-05T16:13:40.000Z,"I'm proud my LIFELINE Act's provisions were adopted, unlocking $8 billion for affordable housing.

We must keep going. Charlotte still has a housing crisis.

I look forward to working with @JeffJacksonNC and our colleagues to make housing more affordable.

https://t.co/PXsqtg7tDR"
20,RepPeteAguilar,2022-12-06T20:19:16.000Z,"Today we honored the @CapitolPolice, @DCPoliceDept and law enforcement who defended our Capitol building on January 6th with the Congressional Gold Medal. We will never forget their bravery and sacrifice while defending our democracy. Thank you to our heroes. https://t.co/oPoItde6iU"
21,RepPeteAguilar,2022-12-06T16:06:00.000Z,RT @CapitolPolice: ❤️ https://t.co/LMY5DHq9J8
22,RepPeteAguilar,2022-12-05T23:43:14.000Z,RT @Morning_Joe: .@RepPeteAguilar: “House Democrats understand the Latino community is not a monolith. You can't use the same talking point…
23,RepPeteAguilar,2022-12-05T17:48:05.000Z,"RT @Morning_Joe: ""Right now, Kevin McCarthy is caught in a position. He has his far flank that is telling him, ""no, never, and we're not go…"
24,RepPeteAguilar,2022-12-05T17:12:23.000Z,My story is the same as so many in the Latino community and across the country. @HouseDemocrats are proud to welcome new leaders who will join our fight to strengthen the American Dream. https://t.co/IMQSyVe0Yb
25,RepPeteAguilar,2022-12-04T15:54:59.000Z,"RT @FaceTheNation: For the first time in more than a decade, House Democrats will have new leadership. Tomorrow, @margbrennan will talk wit…"
26,RepPeteAguilar,2022-12-02T20:29:38.000Z,My statement with @RepJeffries and @RepKClark condemning antisemitism https://t.co/gTznIDZRE0
27,RepPeteAguilar,2022-12-02T20:02:22.000Z,"Today we mark the 7th anniversary of the deadly terror attack that devastated my hometown of San Bernardino. Together, we honor the memory of the 14 people who lost their lives and keep their families in our hearts."
28,RepPeteAguilar,2022-12-01T16:43:33.000Z,"My statement on the election of @RepJoeNeguse, @RepEscobar, @RepDeanPhillips and @RepUnderwood as Chair and Co-Chairs of the Democratic Policy and Communications Committee (DPCC) https://t.co/iKZtmZmBer"
29,RepPeteAguilar,2022-12-01T15:26:10.000Z,My statement on the election of @WhipClyburn as Assistant Democratic Leader https://t.co/O69nMX4K01
40,RepColinAllred,2022-12-07T00:00:01.000Z,"I took leave after my both sons were born to be with my family during that critical time. When families have paid leave, it leads to better outcomes. That's why I joined the new bipartisan Paid Leave Caucus to ensure every family can do the same. https://t.co/4zv2xZHtSC"
41,RepColinAllred,2022-12-06T22:00:00.000Z,"Our brave Capitol Police officers put themselves at risk during the deadly attack on the Capitol on January 6. For that, we owe them a debt of gratitude.
 
I’m proud these heroes were honored today with the Congressional Gold Medal.
https://t.co/fdCMu19pKG"
42,RepColinAllred,2022-12-06T20:00:02.000Z,"DACA recipients are veterans, teachers, health care workers and small business owners. They represent so much of what makes America great. That's why the time is now for the Senate to finally act and #ProtectDACA. #HomeisHere"
43,RepColinAllred,2022-12-06T18:43:42.000Z,"RT @RepSylviaGarcia: Today, the Texas Democratic Delegation met to celebrate and honor the legacy of @RepEBJ. 

Congresswoman Johnson has b…"
44,RepColinAllred,2022-12-06T18:11:39.000Z,"Aly and I were so honored to spend an evening with @POTUS, @FLOTUS, @VP and @SecondGentleman to welcome the holiday season at the annual @WhiteHouse Holiday Ball. https://t.co/9gKtl2ZlHb"
45,RepColinAllred,2022-12-06T16:34:09.000Z,Great news for our region. This contract will create good-paying jobs and help North Texas lead in the manufacturing of state-of-the-art technology for our military. https://t.co/qBUQGvzvI9
46,RepColinAllred,2022-12-06T15:00:03.000Z,"Tomorrow is the last day to sign up for Medicare for next year, which is important because starting in 2023, measures like $35 monthly caps on insulin and free vaccines go into effect. Take advantage and visit https://t.co/tMsj4wbvL7 today. https://t.co/NxkPvyGjH0"
47,RepColinAllred,2022-12-06T00:00:01.000Z,"We must make sure something like January 6 never happens again. To do that we must pass the Electoral Count Reform Act to protect our democracy.

Watch my conversation with @AliciaOnMSNBC. https://t.co/ktKkxfqEZj"
48,RepColinAllred,2022-12-05T18:12:16.000Z,"Folks, my last telephone town hall of the year has begun! Join me right now to hear the latest on my work in Congress and get answers to your questions. Listen live at https://t.co/VZEMhoXMTY or call 855-543-3322."
49,RepColinAllred,2022-12-05T15:41:31.000Z,Steady progress to lower costs thanks to our work in Congress with @POTUS. Americans are now seeing real relief and I’ll keep working to ensure we keep lowering costs across the board. https://t.co/oIigYZ9IIy
80,RepAuchincloss,2022-12-02T19:31:57.000Z,"Today, I met with the Director of the ATF division of the Justice Department with fellow task force members to discuss the concerning rise of ghost guns. 

I am committed to ensuring illegal guns stay off the streets and out of the hands of dangerous individuals. https://t.co/o4ho1bAqa3"
81,RepAuchincloss,2022-11-30T19:23:33.000Z,"Looking forward to working with the next generation of Dem leadership, and excited to have my friend and neighbor @RepKClark whipping votes https://t.co/Z4aAWHXsLG"
82,RepAuchincloss,2022-11-30T15:19:45.000Z,My 2022 #SpotifyWrapped https://t.co/ag7N9bNVsv
83,RepAuchincloss,2022-11-29T17:40:02.000Z,"Xi Jinping’s zero-Covid policy is a catastrophe, both for public health and for Chinese society, children in particular. The CCP should listen to the brave protesters and follow the science, not the megalomania of one man."
84,RepAuchincloss,2022-11-26T19:58:32.000Z,Happy #SmallBusinessSaturday. Teddy was a happy customer holiday shopping for @ToysForTots_USA at Henry’s Bear Park in Newtonville. https://t.co/M8enIqAsxY
85,RepAuchincloss,2022-11-26T16:21:18.000Z,RT @katiephangshow: “We can’t afford to do nothing for 2 years while Kevin McCarthy engages in showmanship &amp; political theater for the deli…
86,RepAuchincloss,2022-11-24T17:42:24.000Z,Happy Thanksgiving from my office and me. I hope your holiday is spent with loved ones. https://t.co/7jlE8JEXCa
