Word,Count
amp,284
rt,215
today,178
work,139
act,127
family,121
more,110
have,109
house,99
thank,99
honor,97
congress,96
community,96
make,95
year,91
pass,89
service,86
new,84
veteran,84
support,81
health,73
help,69
continue,69
fight,69
day,68
proud,66
do,64
time,63
country,62
vote,60
need,59
protect,56
people,56
congressional,54
now,52
care,51
so,49
bill,48
serve,48
join,46
senate,46
worker,45
colleague,44
get,44
pay,43
take,41
member,41
here,40
american,39
office,39
americans,38
see,37
law,36
capitol,36
friend,36
end,35
cost,34
happy,34
business,34
good,34
job,34
life,33
bipartisan,33
leader,32
holiday,32
go,32
child,31
defend,31
leave,30
gold,30
access,30
just,30
great,30
call,30
trump,30
congratulation,28
medal,28
program,28
deserve,28
rail,28
look,28
economy,27
keep,26
chair,26
student,26
leadership,25
january,24
nation,24
many,24
last,24
high,24
include,23
small,23
week,23
provide,23
democracy,22
president,22
state,22
forward,22
legislation,22
de,22
sick,22
ensure,21
learn,21
violence,21
election,21
price,21
know,21
attack,20
biden,20
well,20
democratic,20
hearing,20
right,20
grateful,19
america,19
love,19
back,18
housing,18
crisis,18
amendment,17
lead,17
deliver,17
caucus,17
woman,17
federal,17
marriage,17
lower,17
justice,17
police,17
team,17
energy,17
strong,17
let,16
officer,16
safe,16
local,16
discuss,16
one,16
win,16
future,16
funding,16
live,16
create,16
climate,15
face,15
donald,15
la,15
improve,15
haiti,15
give,15
opportunity,15
never,15
first,15
virginia,15
citizenship,14
daca,14
thing,14
sign,14
constitution,14
hero,14
bring,14
tax,14
meet,14
inflation,14
hear,14
find,14
water,14
put,14
el,14
place,14
elect,13
come,13
hiv,13
home,13
benefit,13
va,13
watch,13
stand,13
address,13
hold,13
democrats,13
next,13
step,13
resource,13
stop,13
party,12
medicare,12
also,12
critical,12
washington,12
recipient,12
celebrate,12
white,11
season,11
use,11
other,11
visit,11
forever,11
department,11
important,11
christmas,11
sacrifice,11
education,11
receive,11
y,11
historic,11
committee,11
plan,11
veteranservicerecognitionact,10
mental,10
story,10
want,10
slavery,10
speaker,10
thanksgiving,10
action,10
national,10
republican,10
crime,10
immigrant,10
gun,10
say,10
grow,10
birthday,10
public,10
recognize,10
welcome,10
los,10
secure,10
long,10
affordable,10
pelosi,9
rural,9
ceremony,9
prayer,9
paul,9
dreamer,9
extend,9
antisemitism,9
dc,9
impact,9
still,9
rule,9
que,9
system,9
jim,9
pathway,9
sure,9
thought,9
texas,9
investment,9
brave,9
statement,9
host,9
loan,9
school,9
clean,9
company,9
special,9
internet,9
add,9
district,9
gas,9
administration,9
commitment,8
dangerous,8
change,8
allow,8
winter,8
challenge,8
humanitarian,8
labor,8
states,8
county,8
way,8
environmental,8
send,8
staff,8
much,8
servicemember,8
start,8
aids,8
war,8
accomplish,8
policy,8
world,8
colorado,8
georgia,8
man,8
award,8
protection,8
duty,8
boycott,8
representative,8
maternal,8
doctor,8
introduce,8
prevention,8
reduction,8
open,8
reduce,8
update,8
art,8
information,8
rise,8
ball,8
lose,8
recognition,8
opioid,8
united,8
same,7
available,7
san,7
court,7
again,7
pfas,7
move,7
speak,7
bravery,7
big,7
contribute,7
attend,7
exist,7
favor,7
head,7
treatment,7
together,7
deport,7
become,7
infrastructure,7
advance,7
letter,7
effort,7
breaking,7
promise,7
ley,7
respect,7
airport,7
ukraine,7
check,7
strengthen,7
late,7
talk,7
am,7
equality,7
present,7
result,7
able,7
group,7
michigan,7
enforcement,7
answer,7
haitian,7
apply,7
project,7
build,7
area,7
bus,7
drive,7
follow,7
profit,7
part,7
owe,7
real,7
read,6
constituent,6
fraud,6
fuel,6
full,6
fossil,6
passing,6
remain,6
senator,6
credit,6
fire,6
return,6
post,6
fellow,6
por,6
enroll,6
haitians,6
pa,6
flu,6
dem,6
nearly,6
excited,6
safety,6
remember,6
save,6
risk,6
register,6
easy,6
reform,6
security,6
gap,6
dinner,6
free,6
regional,6
map,6
combat,6
son,6
hope,6
migrant,6
chairman,6
tell,6
test,6
too,6
manufacturing,6
low,6
location,6
valley,6
issue,6
anniversary,6
voice,6
legislative,6
al,6
aid,6
ago,6
weekend,6
wish,6
launch,6
key,6
wrong,6
holocaust,6
fair,6
show,6
most,6
morning,6
congresswoman,5
app,5
represent,5
license,5
floor,5
government,5
vet,5
veterans,5
delaware,5
think,5
deportation,5
arizona,5
incoming,5
jersey,5
del,5
as,5
importance,5
annual,5
republicans,5
announce,5
railroad,5
immigration,5
gratitude,5
enrich,5
responder,5
always,5
debt,5
shooting,5
relief,5
promote,5
wage,5
forget,5
ballot,5
turn,5
doula,5
mother,5
battleground,5
lot,5
az,5
tree,5
begin,5
treat,5
believe,5
manchin,5
quality,5
intern,5
organization,5
director,5
push,5
punishment,5
senior,5
early,5
tonight,5
invest,5
tomorrow,5
often,5
tom,5
us,5
vaccine,5
center,5
don,5
pleasure,5
contract,5
close,5
childtaxcredit,5
csd,5
examine,5
