,handle,created_at,tweet_text
0,RepAdams,2022-12-07T00:20:49.000Z,RT @CCLCharlotteNC: Thanks to @RepAdams staff Orlice Hodges and Avery Bonifati for meeting with @CCLCharlotteNC today to discuss #climateac…
1,RepAdams,2022-12-06T17:27:13.000Z,"RT @RepBonnie: SCOTUS will soon hear arguments in Moore v. Harper, a case that threatens the future of free and fair elections. Justice Tho…"
2,RepAdams,2022-12-06T15:53:19.000Z,RT @cspan: Congressional Gold Medal Ceremony for U.S. @CapitolPolice on January 6th – LIVE at 11am ET on C-SPAN https://t.co/DwIqWIGhUZ
3,RepAdams,2022-12-06T15:36:17.000Z,Congratulations @StephenCurry30! You’re always welcome back home. https://t.co/SzRRxFC7i2
4,RepAdams,2022-12-06T15:08:44.000Z,"RT @CRLONLINE: .@RepAdams Introduces Bill to Protect Essential Workers from Wage Garnishment

“Systematic racism continues to play a role i…"
5,RepAdams,2022-12-05T21:21:06.000Z,RT @NCLC4consumers: .@RepAdams has introduced the Protecting Wages Act to protect families and essential workers from predatory debt collec…
6,RepAdams,2022-12-05T20:50:44.000Z,"I'm proposing new legislation to protect families and essential workers from predatory debt collection practices.

Read more about the Protecting Wages Act here:

https://t.co/srBRa8bfee"
7,RepAdams,2022-12-05T18:40:36.000Z,"RT @DU_CCPD: @RepAdams is excited to announce two of her paid Spring 2023 Media Internship Programs!

One internship opportunity will be lo…"
8,RepAdams,2022-12-05T16:22:26.000Z,"@RepRichHudson Thank you for your continued attention to this issue, Rep. Hudson. I'm praying for Moore County."
9,RepAdams,2022-12-05T16:13:40.000Z,"I'm proud my LIFELINE Act's provisions were adopted, unlocking $8 billion for affordable housing.

We must keep going. Charlotte still has a housing crisis.

I look forward to working with @JeffJacksonNC and our colleagues to make housing more affordable.

https://t.co/PXsqtg7tDR"
10,Robert_Aderholt,2022-12-06T21:43:15.000Z,"Great meeting @NASA Crew-3 astronauts Raja Chari, Kayla Barron and Thomas Marshburn after their recent trip earlier this year to the @space_station. With every NASA led mission to space, the U.S. continues its leadership in this crucial domain. https://t.co/DrOZdFLR7h"
11,Robert_Aderholt,2022-12-05T18:52:36.000Z,What a view! It’ll be even better when our astronauts get to see it for themselves. #Artemis https://t.co/47tg7HUDZD
12,Robert_Aderholt,2022-11-29T23:49:59.000Z,We must stand with the people of China in their protests against the Chinese Communist Party!
13,Robert_Aderholt,2022-11-24T18:32:32.000Z,"Rejoice always, pray continually, give thanks in all circumstances; for this is God's will for you in Christ Jesus. 

1 Thessalonians 5:16-18 https://t.co/isdOL3yNsd"
14,Robert_Aderholt,2022-11-18T19:52:26.000Z,I encourage you to take a look at my latest op-ed in SpaceNews on the future of American space exploration and how NASA’s Space Launch System will pioneer a new era in human space presence. https://t.co/dsUdQbaqXD
15,Robert_Aderholt,2022-11-17T00:31:51.000Z,"Come January 3rd, the new Republican majority will be focused on lowering the cost of groceries and gas, securing our border, strengthening our military, and holding the Biden Administration accountable. https://t.co/uqhU3xm46x"
16,Robert_Aderholt,2022-11-16T13:25:07.000Z,Congratulations to everyone involved in the successful launch of @NASAArtemis.  I particularly want to thank everyone @NASA_Marshall This historic moment marks the beginning of a new era of human presence and permanence in space. #Artemis https://t.co/trNG8DMLnA
17,Robert_Aderholt,2022-11-15T19:36:18.000Z,"I don't think anyone else believes this. Because the data doesn't back it up.
https://t.co/n1x75RM1vf #FoxNews"
18,Robert_Aderholt,2022-11-11T20:40:58.000Z,"Happy Veterans Day to all who have served and those still serving in the Army, Navy, Marines, Air Force, Coast Guard and Space Force. https://t.co/tGp1TgABRX"
19,Robert_Aderholt,2022-11-10T16:29:11.000Z,"Join me in wishing a Happy Birthday to the Marine Corps. So many have served so proudly, including Cullman’s very own Roy Drinkard, one of the oldest living marines in the United States. https://t.co/xCTpQy6Hyt"
20,RepPeteAguilar,2022-12-06T20:19:16.000Z,"Today we honored the @CapitolPolice, @DCPoliceDept and law enforcement who defended our Capitol building on January 6th with the Congressional Gold Medal. We will never forget their bravery and sacrifice while defending our democracy. Thank you to our heroes. https://t.co/oPoItde6iU"
21,RepPeteAguilar,2022-12-06T16:06:00.000Z,RT @CapitolPolice: ❤️ https://t.co/LMY5DHq9J8
22,RepPeteAguilar,2022-12-05T23:43:14.000Z,RT @Morning_Joe: .@RepPeteAguilar: “House Democrats understand the Latino community is not a monolith. You can't use the same talking point…
23,RepPeteAguilar,2022-12-05T17:48:05.000Z,"RT @Morning_Joe: ""Right now, Kevin McCarthy is caught in a position. He has his far flank that is telling him, ""no, never, and we're not go…"
24,RepPeteAguilar,2022-12-05T17:12:23.000Z,My story is the same as so many in the Latino community and across the country. @HouseDemocrats are proud to welcome new leaders who will join our fight to strengthen the American Dream. https://t.co/IMQSyVe0Yb
25,RepPeteAguilar,2022-12-04T15:54:59.000Z,"RT @FaceTheNation: For the first time in more than a decade, House Democrats will have new leadership. Tomorrow, @margbrennan will talk wit…"
26,RepPeteAguilar,2022-12-02T20:29:38.000Z,My statement with @RepJeffries and @RepKClark condemning antisemitism https://t.co/gTznIDZRE0
27,RepPeteAguilar,2022-12-02T20:02:22.000Z,"Today we mark the 7th anniversary of the deadly terror attack that devastated my hometown of San Bernardino. Together, we honor the memory of the 14 people who lost their lives and keep their families in our hearts."
28,RepPeteAguilar,2022-12-01T16:43:33.000Z,"My statement on the election of @RepJoeNeguse, @RepEscobar, @RepDeanPhillips and @RepUnderwood as Chair and Co-Chairs of the Democratic Policy and Communications Committee (DPCC) https://t.co/iKZtmZmBer"
29,RepPeteAguilar,2022-12-01T15:26:10.000Z,My statement on the election of @WhipClyburn as Assistant Democratic Leader https://t.co/O69nMX4K01
30,RepRickAllen,2022-12-06T21:25:00.000Z,"My staff will be in Metter, Millen, and Swainsboro tomorrow (12/7) to host Community Office Hours.

If you need help with a federal agency, please drop by!

For more information, please visit: https://t.co/jsC6GzDvoh"
31,RepRickAllen,2022-12-05T22:30:00.000Z,"Members of my staff will be in Springfield and Sylvania tomorrow (12/6) to host Community Office Hours.

If you need help with a federal agency, please drop by!

For more information, please visit: https://t.co/jsC6GzDvoh"
32,RepRickAllen,2022-12-04T20:00:00.000Z,"My staff will be in Alamo, Mount Vernon, and Soperton tomorrow (12/5) to host Community Office Hours.

If you need help with a federal agency, please drop by!

More info: https://t.co/jsC6GzDvoh"
33,RepRickAllen,2022-12-02T23:04:05.000Z,"RT @RepAndyBarr: ESG is a cancer in our capital markets that diminishes investor returns &amp; depletes investment in energy production, jeopar…"
34,RepRickAllen,2022-12-02T21:45:31.000Z,RT @DailyMail: Republicans go to war with Biden's 401k ESG 'cancer' https://t.co/gTzywPve5a
35,RepRickAllen,2022-12-02T21:42:55.000Z,"Dealing with federal agencies can be difficult. My office is here to help!

If you need assistance with a federal matter, members of our staff will be in these counties next week to offer one-on-one service, no appointment necessary.

⬇️ Full details ⬇️ 
https://t.co/otcijXPhSJ https://t.co/bZub5E9xdl"
36,RepRickAllen,2022-12-02T21:31:24.000Z,"REMINDER: Applications for our 2023 Spring Internship Program (available both in Washington and the district) are only open for another week.

The deadline to apply is next Friday, 12/9.

Please visit my website for more information:
https://t.co/sFNqjwQV7K https://t.co/Xg3BgslG0a"
